Tender ID,Name,Customer,Stage,Status,inserted Time,Inserted User ID
GEM_2024_B_5414560,"5 MP IP IR BULLET CAMERAS,32 Ch NVR,16 TB Hard Disc,55 inch Monitor,CAT 6 Cable,2 Core 1.5 sqmm Pow",Ministry of Defence Department of Military Affairs,rejected,New-Corrigendum,03-10-2024 13:54:20,GEM BOT
GEM_2024_B_5415139,"PTZ CAMERA DOME,IP CAMERA COLOUR BULLET,2 core power cable 2.5 sqmm,cat 6 cable outdoor 24 AW 305 M",Ministry of Defence Department of Defence,rejected,,04-11-2024 13:02:07,GEM BOT
GEM_2024_B_5415677,"CAMERA 2.4 MP,DVR 4 CHANNEL,HARD DISC 2 TB,WIRE D LINK,LED TV MONITOR 43 INCH,HDMI CABLE,WIRE ROLL,",Ministry of Defence Department of Military Affairs,rejected,New-Corrigendum,21-09-2024 13:27:34,GEM BOT
GEM_2024_B_5416636,Q - Switched NDYAG Laser,Health & Family Welfare Department Gujarat,rejected,New-Corrigendum,08-10-2024 06:06:18,GEM BOT
GEM_2024_B_5417651,Cables suitable for CCTV System (Accessories),Ministry of Defence Department of Military Affairs,approved,Not Submitted,03-10-2024 14:19:10,GEM BOT
GEM_2024_B_5418087,Wireless LAN,Ministry of Coal COAL INDIA LIMITED,rejected,New-Corrigendum,24-10-2024 05:03:15,GEM BOT
GEM_2024_B_5422262,Installation and Commissioning Charges for CCTV Cameras (Accessories),Revenue Department Gujarat,rejected,,07-11-2024 13:02:49,GEM BOT
GEM_2024_B_5422569,"Monitor led panel 18 5 make Zebronics Dell Frontech,fuser unit for HP 1136 Printer multi function A",Ministry of Defence Department of Military Affairs,rejected,New-Corrigendum,21-10-2024 13:06:44,GEM BOT
GEM_2024_B_5423241,AMC of Integrated Security and Surveillance System - Outdoor Perimeter Security; Comprehensive; Net,Ministry of Defence Department of Military Affairs,rejected,New-Corrigendum,03-10-2024 15:08:45,GEM BOT
GEM_2024_B_5423967,"Server,Layer 2 Access Switch (V2),Cat 6 Cable for Indoor Use,Online UPS (V2)",Ministry of Defence Department of Military Affairs,rejected,,27-10-2024 13:15:30,GEM BOT
GEM_2024_B_5424624,Networking / Server Rack,Ministry of Defence Department of Military Affairs,rejected,New-Corrigendum,25-09-2024 09:52:45,GEM BOT
GEM_2024_B_5425426,"Camera for CCTV System (V2),Installation and Commissioning Charges for CCTV Cameras (Accessories),V",Ministry of Defence Department of Military Affairs,rejected,New-Corrigendum,26-10-2024 13:01:35,GEM BOT
GEM_2024_B_5426188,"Liquid Crystal Display LCD Panel or Monitors,Laminators,Layer 2 Access Switch (V2)",Ministry of Defence Department of Military Affairs,rejected,New-Corrigendum,29-10-2024 13:11:49,GEM BOT
GEM_2024_B_5426692,"AC 2 TON SPILT,REVOLVING CHAIR,DOME CAMERA 2 MP,BULLET CAMERA 2 MP,LED TV 55 INCH,EXECUTIVE TABLE,E",Ministry of Defence Department of Military Affairs,rejected,,10-11-2024 13:05:54,GEM BOT
GEM_2024_B_5426708,Installation and Commissioning Charges for CCTV Cameras (Accessories),"Ministry of Ports, Shipping and Waterways NA",rejected,,06-11-2024 13:02:34,GEM BOT
GEM_2024_B_5427214,Camera for CCTV System (V2),Panchayats and Rural Housing Department Gujarat,rejected,New-Corrigendum,08-10-2024 05:02:02,GEM BOT
GEM_2024_B_5428754,"Repair and Maintenance of NVR 64 Channel with 4 TB Hard Disc,Repair and Maintenance of IP PTZ Outdo",Ministry of Defence Department of Military Affairs,rejected,,29-10-2024 13:03:05,GEM BOT
GEM_2024_B_5429141,CCTV SURVILLANCE SYSTEM AND REINSTALLATION/SHIFTING OF CCTV,Ministry of Defence Department of Military Affairs,rejected,,06-11-2024 13:10:19,GEM BOT
GEM_2024_B_5430145,Curved switch,"Ministry of Ports, Shipping and Waterways NA",rejected,,13-11-2024 13:32:11,GEM BOT
GEM_2024_B_5430566,Custom Bid for Services - PROCUREMENT AND FITMENT OF MECHANICAL TIMER SWITCHES IN ASRS STOREHOUSE A,Ministry of Defence Department of Military Affairs,rejected,New-Corrigendum,16-10-2024 13:16:09,GEM BOT
GEM_2024_B_5432920,"Layer 3 Distribution Switch,Layer 2 PoE Plus Switch,Layer 2 Non PoE Switch,Cat 6 Patch Cord 5 mtr,I",Ministry of Labour and Employment NA,rejected,New-Corrigendum,08-10-2024 05:50:57,GEM BOT
GEM_2024_B_5433618,"NVR,CAMERA1,CAMERA2,POE_SWITCH,CAT6,PVC_BOX,PVC_BOX,SUR_HD,PVC_PIPE,INSTT",Ministry of Education Department of School Education and Literacy,rejected,,08-11-2024 13:05:03,GEM BOT
GEM_2024_B_5434706,"DLINK CAT6 CABLE BOX,CASING PATTI 3 METER,16 PORT DLLING GIGA SWITCH,8 PORT DLLING GIGA SWITCH,DLIN",Ministry of Defence Department of Defence,rejected,New-Corrigendum,08-10-2024 05:54:10,GEM BOT
GEM_2024_B_5435531,"Modular Piano Type Domestic Electrical Switches as per IS 3854,Piano Type Modular Domestic Electric",Ministry of Education Department of Higher Education,rejected,,09-11-2024 05:16:33,GEM BOT
