tender_id,name_of_work,customer,inserted_time,inserted_user_id,verification_1,done
2024_CEUCZ_883128_1,Construction and 05 Year Maintenance of Matuwa Sakran Bholaganj Road (Sanda Sakran Road Km-3) Madhaipur to Sirsakalan via Bahraich Sitapur road (SH),"Chief Engineer PWD Central Zone,Lucknow||S.E. UPPWD Sitapur",24-01-2024 05:17:33,Etenders UP NIC BOT,rejected,
2024_CEUCZ_884225_6,Pure Shuklan link road,"Chief Engineer PWD Central Zone,Lucknow||S.E. UPPWD Lucknow||Provincial Division, Raebarelli",24-01-2024 05:14:41,Etenders UP NIC BOT,rejected,
2024_CEUVZ_882475_19,Special Repair of Pahadpur Belasi to Khankah Kalan Link Road,"Chief Engineer PWD Varanasi Zone||S.E. Jaunpur - Ghazipur Circle PWD Jaunpur||Construction Division - 1, PWD Ghazipur",24-01-2024 05:16:33,Etenders UP NIC BOT,rejected,
2024_CEUVZ_882475_6,Special Repair of Matakhanna to Dhanaipur via Khankah Kalan Link Road,"Chief Engineer PWD Varanasi Zone||S.E. Jaunpur - Ghazipur Circle PWD Jaunpur||Construction Division - 1, PWD Ghazipur",24-01-2024 08:45:44,Tendersodisha GOV BOT,rejected,
2024_CEUVZ_885575_1,Construction of Rajaswa gram Rajmilan me Danua se Mainahawa link road. (5 Years Anurakshan sahit),"Chief Engineer PWD Varanasi Zone||S.E. Sonebhadra Circle,PWD, Sonebhadra||Contruction Division,PWD ,Sonebhadra",26-01-2024 05:24:45,Etenders UP NIC BOT,rejected,
2024_CHD_78937_1,Strengthening of the damaged road Industrial Area Phase 3 Raipur Kalan Chandigarh,Chandigarh Administration||Engineering||Construction Circle - II||CP - II,26-01-2024 02:52:15,CHDTenders GOV NICGEP BOT,rejected,
2024_CHD_78960_1,"MAINTENANCE OF E.I IN NRB AT CHANDIGARH. (PROVIDING CCTV SURVEILLANCE SYSTEM AT ELECTION COUNTING CENTRE CCET SECTOR-26, CHANDIGARH UNDER THE JURSDICTION OF SDE E-5, CHANDIGARH.",Chandigarh Administration||Engineering||Electrical Circle||Electrical Div - I,26-01-2024 02:50:16,CHDTenders GOV NICGEP BOT,rejected,
2024_CMDAC_412059_1,"Development along Eastern side of Island Grounds with Modern Urban amenities such as Urban Plaza, Exhibition Pavilions, Landscaping, Open air Theatre, etc., at Chennai (Phase-I)",Chennai Metropolitan Development Authority||Construction Wing,24-01-2024 09:07:34,Tntenders GOV NIC BOT,rejected,
2024_CSIR_742727_1,(DP23-CU-12) 6.4MP non-cooled digital camera for microscope,Council of Scientific and Industrial Research||NISCPR-Delhi,23-01-2024 04:00:09,Eprocure Epublish BOT,rejected,
2024_DCFMD_13143_1,"LAN Set up (40 nodes) for e-office at DCF(MD) office, Chatham (Ground and First Floor)",Department of Environment and Forests||Office of DCF (Mill Division) Chatam,26-01-2024 02:01:39,AndamanTenders GOV NICGEP BOT,rejected,
2024_DCFMD_13150_1,"Supply, Installation, Testing and Commissioning of IP based CCTV Surveillance System at Mill Division, Chatham",Department of Environment and Forests||Office of DCF (Mill Division) Chatam,26-01-2024 02:00:29,AndamanTenders GOV NICGEP BOT,rejected,
2024_DCFMD_13158_1,"Loading, transportation and unloading of Industrial waste garbage etc. from Govt. Saw Mill, Chatham to designated PBMC landfill site(Brookshabad) including PBMC dumping charges, GST and other charges",Department of Environment and Forests||Office of DCF (Mill Division) Chatam,26-01-2024 02:02:25,AndamanTenders GOV NICGEP BOT,rejected,
2024_DEODD_81199_1,"Supply of Videography, Photography, CCTV and Various Materials",Cabinet Election Department||DEOGHAR ELECTION OFFICE,20-01-2024 06:10:29,JKDTenders GOV NICGEP BOT,rejected,
2024_DFWL_252544_1,MAINTENANCE OF PLANTATION OF 8110 FORESTRY PLANTS ON LAND AT DHULSIRAS,Department of Forests and Wildlife,26-01-2024 03:41:42,DelhiTenders GOV NICGEP BOT,rejected,
2024_DGPCS_324674_1,Maintenance and repairing of CCTV Camera All System at District Jail Shahdol,Director General of Prisons and Correctional Services||District Jail Shahdol,07-01-2024 07:30:08,Mptenders GOV BOT,approved,Not Submitted
