,BID NO,Items,Quantity,Start Date,End Date,Department Name And Address,new_itm
59,GEM/2025/B/6330240,"DESKTOP COMPUTER,DRONE FLIGHT ...",22,2025-06-23 18:40,2025-07-14 19:00,Ministry of Defence Department of Defence,"DESKTOP COMPUTER,DRONE FLIGHT SIMULATOR,FPV DRONE,VR GOOGLE SET,COMPUTER TABLE,OFFICE CHAIR,TRAININ"
60,GEM/2025/B/6393195,Drone Training Simulator with ...,1,2025-07-03 18:29,2025-07-14 19:00,Ministry of Defence Department of Military Affairs,"Drone Training Simulator with Compatible Computer, Virtual Reality Headset And Installation and Tra"
61,GEM/2025/B/6430667,9450 Self Locking Propeller fo...,18,2025-07-08 18:47,2025-07-14 19:00,Ministry of Defence Department of Military Affairs,"9450 Self Locking Propeller for Drone 1CW 1CCW 01 Pair,S550 Hexacopter Frame for Drone,Radiolink Cr"
64,GEM/2025/B/6272905,Test Panel for Drone,1,2025-07-04 19:50,2025-07-14 20:00,Ministry of Defence Department of Military Affairs,Test Panel for Drone
65,GEM/2025/B/6435444,"BAGPIPE COMPLETE WITH CASE, CA...",5,2025-07-09 19:41,2025-07-14 20:00,Ministry of Defence Department of Military Affairs,"BAGPIPE COMPLETE WITH CASE, CARD, COVER, PLASTIC DRONE, REED AND RUBBER BAG"
66,GEM/2025/B/6316977,Unmanned Aerial Vehicle UAV FP...,14,2025-06-23 20:13,2025-07-14 21:00,Ministry of Defence Department of Military Affairs,"Unmanned Aerial Vehicle UAV FPV DRONE,FPV Goggles,Remote Controller,Propellers,Battery"
67,GEM/2025/B/6391679,Surveillance Drone / Unmanned ...,2,2025-06-27 20:37,2025-07-14 21:00,Home Department Jammu and Kashmir,Surveillance Drone / Unmanned Aerial Vehicle (V2)
69,GEM/2025/B/6376409,FPV DRONE,1,2025-06-24 09:01,2025-07-15 10:00,Ministry of Defence Department of Military Affairs,FPV DRONE
70,GEM/2025/B/6376393,"WORK BENCH,DRONE MOUNT,MOTION ...",6,2025-06-24 10:01,2025-07-15 11:00,Ministry of Defence Department of Military Affairs,"WORK BENCH,DRONE MOUNT,MOTION GENERATORS,PLATFORM CASHING,MOTION PLATFORM"
71,GEM/2025/B/6377150,REN AND LITE DRONE,1,2025-06-24 11:07,2025-07-15 12:00,Ministry of Defence Department of Military Affairs,REN AND LITE DRONE
72,GEM/2025/B/6377279,DRONE FPV,1,2025-06-24 11:26,2025-07-15 12:00,Ministry of Defence Department of Military Affairs,DRONE FPV
73,GEM/2025/B/6376336,FPV DRONE ACCESSORIES,1,2025-06-24 11:29,2025-07-15 12:00,Ministry of Defence Department of Military Affairs,FPV DRONE ACCESSORIES
74,GEM/2025/B/6347774,First Person View (FPV) Drone ...,23,2025-06-24 11:24,2025-07-15 12:00,Ministry of Defence Department of Military Affairs,First Person View (FPV) Drone 10 Inch
